"Date","Close","name","ticker","event_date"
2022-02-04,190000,"현대차","005380.KS",2022-02-24
2022-02-07,186500,"현대차","005380.KS",2022-02-24
2022-02-08,186500,"현대차","005380.KS",2022-02-24
2022-02-09,186500,"현대차","005380.KS",2022-02-24
2022-02-10,185500,"현대차","005380.KS",2022-02-24
2022-02-11,183000,"현대차","005380.KS",2022-02-24
2022-02-14,176500,"현대차","005380.KS",2022-02-24
2022-02-15,180500,"현대차","005380.KS",2022-02-24
2022-02-16,182000,"현대차","005380.KS",2022-02-24
2022-02-17,183500,"현대차","005380.KS",2022-02-24
2022-02-18,183500,"현대차","005380.KS",2022-02-24
2022-02-21,183500,"현대차","005380.KS",2022-02-24
2022-02-22,183500,"현대차","005380.KS",2022-02-24
2022-02-23,183500,"현대차","005380.KS",2022-02-24
2022-02-24,173000,"현대차","005380.KS",2022-02-24
2022-02-25,174000,"현대차","005380.KS",2022-02-24
2022-02-28,174000,"현대차","005380.KS",2022-02-24
2022-03-02,170500,"현대차","005380.KS",2022-02-24
2022-03-03,177500,"현대차","005380.KS",2022-02-24
2022-03-04,177500,"현대차","005380.KS",2022-02-24
2022-03-07,168000,"현대차","005380.KS",2022-02-24
2022-03-08,168000,"현대차","005380.KS",2022-02-24
2022-03-10,168000,"현대차","005380.KS",2022-02-24
2022-03-11,168000,"현대차","005380.KS",2022-02-24
2022-03-14,164500,"현대차","005380.KS",2022-02-24
2022-03-15,164500,"현대차","005380.KS",2022-02-24
2022-03-16,164500,"현대차","005380.KS",2022-02-24
2022-03-17,164500,"현대차","005380.KS",2022-02-24
2022-03-18,171000,"현대차","005380.KS",2022-02-24
2022-03-21,171000,"현대차","005380.KS",2022-02-24
2022-03-22,173500,"현대차","005380.KS",2022-02-24
2022-03-23,176000,"현대차","005380.KS",2022-02-24
2022-03-24,176000,"현대차","005380.KS",2022-02-24
2022-03-25,174000,"현대차","005380.KS",2022-02-24
2022-03-28,174500,"현대차","005380.KS",2022-02-24
2022-03-29,176500,"현대차","005380.KS",2022-02-24
2022-03-30,181000,"현대차","005380.KS",2022-02-24
2022-03-31,180500,"현대차","005380.KS",2022-02-24
2022-04-01,178000,"현대차","005380.KS",2022-02-24
2022-04-04,178000,"현대차","005380.KS",2022-02-24
2022-04-05,179000,"현대차","005380.KS",2022-02-24
2022-04-06,180000,"현대차","005380.KS",2022-02-24
2022-04-07,178500,"현대차","005380.KS",2022-02-24
2022-04-08,176500,"현대차","005380.KS",2022-02-24
2022-04-11,179500,"현대차","005380.KS",2022-02-24
2022-04-12,178000,"현대차","005380.KS",2022-02-24
2022-04-13,181000,"현대차","005380.KS",2022-02-24
2022-04-14,177500,"현대차","005380.KS",2022-02-24
2022-04-15,177000,"현대차","005380.KS",2022-02-24
2022-04-18,178500,"현대차","005380.KS",2022-02-24
2022-04-19,181000,"현대차","005380.KS",2022-02-24
2022-04-20,183000,"현대차","005380.KS",2022-02-24
2022-04-21,183000,"현대차","005380.KS",2022-02-24
2022-04-22,180000,"현대차","005380.KS",2022-02-24
2022-04-25,182000,"현대차","005380.KS",2022-02-24
2022-04-26,187000,"현대차","005380.KS",2022-02-24
2022-04-27,187000,"현대차","005380.KS",2022-02-24
2022-04-28,188500,"현대차","005380.KS",2022-02-24
2022-04-29,186000,"현대차","005380.KS",2022-02-24
2022-05-02,187000,"현대차","005380.KS",2022-02-24
2022-05-03,183500,"현대차","005380.KS",2022-02-24
2022-05-04,184000,"현대차","005380.KS",2022-02-24
2022-05-06,182500,"현대차","005380.KS",2022-02-24
2022-05-10,180500,"현대차","005380.KS",2022-02-24
2022-05-11,183000,"현대차","005380.KS",2022-02-24
2022-05-12,180500,"현대차","005380.KS",2022-02-24
2022-05-13,186500,"현대차","005380.KS",2022-02-24
2022-05-16,184000,"현대차","005380.KS",2022-02-24
2022-05-17,185500,"현대차","005380.KS",2022-02-24
2022-05-18,185500,"현대차","005380.KS",2022-02-24
2022-05-19,182000,"현대차","005380.KS",2022-02-24
2022-05-20,186500,"현대차","005380.KS",2022-02-24
2022-05-23,188000,"현대차","005380.KS",2022-02-24
2022-05-24,185000,"현대차","005380.KS",2022-02-24
2022-05-25,183500,"현대차","005380.KS",2022-02-24
2022-05-26,184000,"현대차","005380.KS",2022-02-24
2022-05-27,185500,"현대차","005380.KS",2022-02-24
2022-05-30,187500,"현대차","005380.KS",2022-02-24
2022-05-31,189500,"현대차","005380.KS",2022-02-24
2022-06-02,187500,"현대차","005380.KS",2022-02-24
2022-06-03,187000,"현대차","005380.KS",2022-02-24
2022-06-07,183500,"현대차","005380.KS",2022-02-24
2022-06-08,183000,"현대차","005380.KS",2022-02-24
2022-06-09,182500,"현대차","005380.KS",2022-02-24
2022-06-10,184500,"현대차","005380.KS",2022-02-24
2022-06-13,175000,"현대차","005380.KS",2022-02-24
2022-06-14,171500,"현대차","005380.KS",2022-02-24
2022-06-15,174000,"현대차","005380.KS",2022-02-24
2022-06-16,173000,"현대차","005380.KS",2022-02-24
2022-06-17,170000,"현대차","005380.KS",2022-02-24
2022-06-20,170500,"현대차","005380.KS",2022-02-24
2022-06-21,172500,"현대차","005380.KS",2022-02-24
2022-06-22,171500,"현대차","005380.KS",2022-02-24
2022-06-23,171000,"현대차","005380.KS",2022-02-24
2022-06-24,173000,"현대차","005380.KS",2022-02-24
2022-06-27,183000,"현대차","005380.KS",2022-02-24
2022-06-28,186000,"현대차","005380.KS",2022-02-24
2022-06-29,175500,"현대차","005380.KS",2022-02-24
2022-06-30,180500,"현대차","005380.KS",2022-02-24
